-------------------------------------------------------------------------------
Model constraints: 1818, variables: integer: 580, interval: 600, sequence: 10
Solve status: Feasible
Search status: SearchStopped, stop cause: SearchStoppedByLimit
Solve time: 60.46 sec
-------------------------------------------------------------------------------
Trip_33 | Duty_09: (start=875, end=923, size=48, length=48)
Trip_34 | Duty_00: absent
Trip_34 | Duty_01: absent
Trip_34 | Duty_02: absent
Trip_34 | Duty_03: absent
Trip_34 | Duty_04: absent
Trip_34 | Duty_05: (start=895, end=943, size=48, length=48)
Trip_34 | Duty_06: absent
Trip_34 | Duty_07: absent
Trip_34 | Duty_08: absent
Trip_34 | Duty_09: absent
Trip_35 | Duty_00: absent
Trip_35 | Duty_01: absent
Trip_35 | Duty_02: absent
Trip_35 | Duty_03: absent
Trip_35 | Duty_04: (start=910, end=958, size=48, length=48)
Trip_35 | Duty_05: absent
Trip_35 | Duty_06: absent
Trip_35 | Duty_07: absent
Trip_35 | Duty_08: absent
Trip_35 | Duty_09: absent
Trip_36 | Duty_00: absent
Trip_36 | Duty_01: absent
Trip_36 | Duty_02: (start=925, end=973, size=48, length=48)
Trip_36 | Duty_03: absent
Trip_36 | Duty_04: absent
Trip_36 | Duty_05: absent
Trip_36 | Duty_06: absent
Trip_36 | Duty_07: absent
Trip_36 | Duty_08: absent
Trip_36 | Duty_09: absent
Trip_37 | Duty_00: absent
Trip_37 | Duty_01: (start=945, end=993, size=48, length=48)
Trip_37 | Duty_02: absent
Trip_37 | Duty_03: absent
Trip_37 | Duty_04: absent
Trip_37 | Duty_05: absent
Trip_37 | Duty_06: absent
Trip_37 | Duty_07: absent
Trip_37 | Duty_08: absent
Trip_37 | Duty_09: absent
Trip_38 | Duty_00: absent
Trip_38 | Duty_01: absent
Trip_38 | Duty_02: absent
Trip_38 | Duty_03: absent
Trip_38 | Duty_04: absent
Trip_38 | Duty_05: absent
Trip_38 | Duty_06: absent
Trip_38 | Duty_07: absent
Trip_38 | Duty_08: absent
Trip_38 | Duty_09: (start=960, end=1012, size=52, length=52)
Trip_39 | Duty_00: absent
Trip_39 | Duty_01: absent
Trip_39 | Duty_02: (start=975, end=1027, size=52, length=52)
Trip_39 | Duty_03: absent
Trip_39 | Duty_04: absent
Trip_39 | Duty_05: absent
Trip_39 | Duty_06: absent
Trip_39 | Duty_07: absent
Trip_39 | Duty_08: absent
Trip_39 | Duty_09: absent
Trip_40 | Duty_00: absent
Trip_40 | Duty_01: (start=995, end=1047, size=52, length=52)
Trip_40 | Duty_02: absent
Trip_40 | Duty_03: absent
Trip_40 | Duty_04: absent
Trip_40 | Duty_05: absent
Trip_40 | Duty_06: absent
Trip_40 | Duty_07: absent
Trip_40 | Duty_08: absent
Trip_40 | Duty_09: absent
Trip_41 | Duty_00: absent
Trip_41 | Duty_01: absent
Trip_41 | Duty_02: absent
Trip_41 | Duty_03: absent
Trip_41 | Duty_04: (start=1010, end=1062, size=52, length=52)
Trip_41 | Duty_05: absent
Trip_41 | Duty_06: absent
Trip_41 | Duty_07: absent
Trip_41 | Duty_08: absent
Trip_41 | Duty_09: absent
Trip_42 | Duty_00: (start=1025, end=1077, size=52, length=52)
Trip_42 | Duty_01: absent
Trip_42 | Duty_02: absent
Trip_42 | Duty_03: absent
Trip_42 | Duty_04: absent
Trip_42 | Duty_05: absent
Trip_42 | Duty_06: absent
Trip_42 | Duty_07: absent
Trip_42 | Duty_08: absent
Trip_42 | Duty_09: absent
Trip_43 | Duty_00: absent
Trip_43 | Duty_01: absent
Trip_43 | Duty_02: (start=1045, end=1097, size=52, length=52)
Trip_43 | Duty_03: absent
Trip_43 | Duty_04: absent
Trip_43 | Duty_05: absent
Trip_43 | Duty_06: absent
Trip_43 | Duty_07: absent
